account_name,go_live_date,is_live
Qurtoba,2020-09-16,true
Wadi,2020-10-26,true
Olaya,2020-12-03,true
Dahrat Laban,2021-03-15,true
Suwaidi,2021-06-09,true
Malga,2022-03-22,true
Khaleej,2022-09-01,true
Aqrabiya,2022-08-15,true
Nahda,2026-01-13,true
Safa,2024-06-03,true
Zuhur,2023-09-01,true
Aqiq,2022-12-15,true
King Fahd,2023-01-15,true
Malga 2,2023-01-01,true
Rawdah,2023-03-01,true
Bawadi,2023-05-24,true
Salam,2023-03-01,true
Marwa,2023-12-15,true
Tuwaiq,2023-04-15,true
Jarir,2023-09-01,true
Sulimaniah,2023-07-15,true
Rehab,2023-11-19,true
Rawda,2023-07-01,true
Narjis,2023-12-01,true
Hofuf,2024-03-01,true
Yasmin,2024-04-01,true
Mishrifah,2024-04-15,true
Arid,2024-03-01,true
Bishir,2024-06-01,true
Al Nazim,2026-02-01,false
Sweidi 2,2025-09-29,true
King Faisal,2025-12-20,true
Arid 2,2026-02-15,true
Ghirnatah 2,2025-10-20,true
Aqiq 2,2026-01-07,true
Sahafa,,false
Rakah,2026-04-01,true
Wurud,2026-02-15,true
Jamiah (2),2026-05-01,false
Yarmuk,2026-07-01,false
Yasmin (2),2027-10-15,false
Al Fayhaa,2026-06-01,false
Nazim (2),2026-09-15,false
Qirawan,2026-09-01,false
Nazim (3),2027-03-30,false
Khaleej 2,2027-08-01,false
Masiaf,2026-12-24,false
Malga (3),2027-03-01,false
Muruj,2027-06-01,false
Izdihar,2026-12-24,false
Sweidi (4),2026-06-01,false
Aqiq (3),2026-12-27,false
Nuzha,2027-03-01,false
Arid (3),2026-12-30,false
Umm Al Hamam,2027-03-01,false
Munisiya,2027-08-01,false
Zahra,2026-11-01,false
